 <m?>,hum,tempdegc,gasconc
1,74.4,31.3,237
2,74.4,31.3,234
3,74.4,31.4,239
4,74.4,31.4,242
5,74.3,31.4,243
6,74.3,31.4,243
7,74.4,31.5,243
8,74.4,31.5,244
9,74.3,31.5,243
10,74.3,31.5,246
11,74.1,31.5,244
12,74.1,31.5,244
13,74,31.6,241
14,74,31.6,241
15,73.8,31.6,238
16,73.8,31.6,238
17,73.6,31.6,236
18,73.6,31.6,237
19,73.3,31.6,235
20,73.3,31.6,236
21,73.3,31.7,233
22,73.3,31.7,234
23,73.1,31.7,231
24,73.1,31.7,232
25,73,31.7,230
26,73,31.7,230
27,72.9,31.8,229
28,72.9,31.8,228
29,72.8,31.8,228
30,72.8,31.8,226
31,72.7,31.8,227
32,72.7,31.8,227
33,72.7,31.9,226
34,72.7,31.9,226
35,72.7,31.9,224
36,72.7,31.9,224
37,72.6,31.9,223
38,72.6,31.9,222
39,72.5,31.9,222
40,72.5,31.9,221
41,72.3,31.9,221
42,72.3,31.9,220
43,72.3,31.9,223
44,72.3,31.9,226
45,72.3,31.9,228
46,72.3,31.9,230
47,72.3,32,245
48,72.3,32,268
49,72.2,31.9,275
50,72.2,31.9,296
51,72.1,31.9,312
52,72.1,31.9,315
53,72.1,31.9,340
54,72.1,31.9,389
55,72.1,31.9,407
56,72.1,31.9,407
57,72.1,31.9,402
58,72.1,31.9,400
59,72,31.9,400
60,72,31.9,448
61,72.1,32,600
62,72.1,32,654
63,72.1,32,672
64,72.1,32,726
65,72.1,32,741
66,72.1,32,770
67,72.1,32,781
68,72.1,32,794
69,72.1,32,789
70,72.1,32,766
71,72,32,748
72,72,32,734
73,72,32.1,728
74,72,32.1,715
75,72,32.1,695
76,72,32.1,653
77,71.9,32.1,627
78,71.9,32.1,598
79,71.8,32.1,570
80,71.8,32.1,544
81,71.9,32.2,520
82,71.9,32.2,500
83,71.9,32.2,479
84,71.9,32.2,465
85,71.8,32.2,451
86,71.8,32.2,439
87,71.7,32.2,428
88,71.7,32.2,419
89,71.6,32.2,410
90,71.6,32.2,407
91,71.6,32.2,505
92,71.6,32.2,560
93,71.5,32.2,595
94,71.5,32.2,572
95,71.6,32.3,540
96,71.6,32.3,534
97,71.5,32.3,544
98,71.5,32.3,555
99,71.5,32.4,563
100,71.5,32.4,572
101,71.5,32.4,561
102,71.5,32.4,582
103,71.5,32.5,583
104,71.5,32.5,542
105,71.5,32.5,506
106,71.5,32.5,478
107,71.4,32.6,453
108,71.4,32.6,431
109,71.4,32.6,413
110,71.4,32.6,397
111,71.4,32.7,385
112,71.4,32.7,374
113,71.4,32.7,365
114,71.4,32.7,357
115,71.3,32.7,353
116,71.3,32.7,407
117,71.3,32.8,424
118,71.3,32.8,415
119,71.4,32.9,413
120,71.4,32.9,395
121,71.3,32.8,379
122,71.3,32.8,369
123,71.3,32.9,368
124,71.3,32.9,373
125,71.3,33,373
126,71.3,33,459
127,71.3,33,470
128,71.3,33,534
129,71.2,33,540
130,71.2,33,542
131,71.3,33.1,551
132,71.3,33.1,559
133,71.3,33.1,548
134,71.3,33.1,517
135,71.2,33.1,491
136,71.2,33.1,468
137,71.2,33.1,474
138,71.2,33.1,474
139,71.3,33.2,483
140,71.3,33.2,476
141,71.2,33.2,461
142,71.2,33.2,467
143,71.2,33.2,483
144,71.2,33.2,536
145,71.2,33.2,673
146,71.2,33.2,726
147,71.3,33.3,745
148,71.3,33.3,735
149,71.2,33.3,706
150,71.2,33.3,634
151,71.3,33.3,590
152,71.3,33.3,557
153,71.3,33.3,526
154,71.3,33.3,499
155,71.3,33.3,477
156,71.3,33.3,460
157,71.3,33.3,445
158,71.3,33.3,433
159,71.3,33.3,422
160,71.3,33.3,413
161,71.2,33.2,404
162,71.2,33.2,396
163,71.2,33.2,388
164,71.2,33.2,381
165,71.1,33.2,374
166,71.1,33.2,367
167,71.1,33.1,360
168,71.1,33.1,355
169,70.9,33,349
170,70.9,33,344
171,70.9,33,339
172,70.9,33,334
173,70.9,33,330
174,70.9,33,326
175,70.9,32.9,322
176,70.9,32.9,318
177,70.7,32.8,316
178,70.7,32.8,313
179,70.8,32.8,312
180,70.8,32.8,310
181,70.8,32.8,308
182,70.8,32.8,306
183,70.8,32.7,305
184,70.8,32.7,304
185,70.8,32.7,302
186,70.8,32.7,301
187,70.8,32.6,300
188,70.8,32.6,299
189,70.8,32.6,298
190,70.8,32.6,296
191,70.8,32.6,295
192,70.8,32.6,294
193,70.8,32.5,293
194,70.8,32.5,292
195,70.8,32.5,290
196,70.8,32.5,289
197,70.9,32.5,288
198,70.9,32.5,287
199,70.8,32.4,286
200,70.8,32.4,285
201,70.9,32.4,285
202,70.9,32.4,284
203,70.9,32.4,284
204,70.9,32.4,283
205,70.9,32.3,283
206,70.9,32.3,282
207,70.9,32.3,281
208,70.9,32.3,279
209,70.9,32.2,278
210,70.9,32.2,277
211,70.9,32.2,276
212,70.9,32.2,275
213,71,32.2,275
214,71,32.2,275
215,71,32.1,275
216,71,32.1,275
217,71,32.1,275
218,71,32.1,275
219,71.1,32.1,275
220,71.1,32.1,275
221,71.2,32.1,274
222,71.2,32.1,274
223,71.1,32,274
224,71.1,32,274
225,71.2,32,274
226,71.2,32,273
227,71.3,32,273
228,71.3,32,272
229,71.3,32,271
230,71.3,32,269
231,71.3,31.9,268
232,71.3,31.9,267
233,71.4,31.9,266
234,71.4,31.9,266
235,71.4,31.9,266
236,71.4,31.9,265
237,71.3,31.8,265
238,71.3,31.8,265
239,71.4,31.8,265
240,71.4,31.8,265
241,71.5,31.8,265
242,71.5,31.8,266
243,71.5,31.8,265
244,71.5,31.8,266
245,71.5,31.7,266
246,71.5,31.7,266
247,71.6,31.7,266
248,71.6,31.7,266
249,71.6,31.7,265
250,71.6,31.7,265
251,71.7,31.7,264
252,71.7,31.7,264
253,71.8,31.7,264
254,71.8,31.7,264
255,71.7,31.6,264
256,71.7,31.6,264
257,71.9,31.7,264
258,71.9,31.7,264
259,71.8,31.6,264
260,71.8,31.6,264
261,71.9,31.6,264
262,71.9,31.6,264
263,72,31.6,263
264,72,31.6,263
265,72,31.6,263
266,72,31.6,263
267,72.1,31.6,263
268,72.1,31.6,264
269,72.1,31.6,264
270,72.1,31.6,264
271,72.2,31.6,264
272,72.2,31.6,264
273,72.2,31.5,264
274,72.2,31.5,264
275,72.2,31.5,264
276,72.2,31.5,264
277,72.3,31.5,264
278,72.3,31.5,264
279,72.3,31.5,263
280,72.3,31.5,264
281,72.3,31.5,264
282,72.3,31.5,264
283,72.4,31.5,264
284,72.4,31.5,263
285,72.3,31.4,264
286,72.3,31.4,264
287,72.4,31.4,264
288,72.4,31.4,264
289,72.4,31.4,264
290,72.4,31.4,263
291,72.5,31.4,264
292,72.5,31.4,263
293,72.6,31.4,263
294,72.6,31.4,263
295,72.6,31.4,263
296,72.6,31.4,263
297,72.6,31.4,263
298,72.6,31.4,262
299,72.7,31.4,263
300,72.7,31.4,263
301,72.7,31.4,263
302,72.7,31.4,262
303,72.8,31.4,262
304,72.8,31.4,262
305,72.7,31.3,261
306,72.7,31.3,261
307,72.7,31.3,260
308,72.7,31.3,259
309,72.8,31.3,258
310,72.8,31.3,257
311,72.8,31.3,257
312,72.8,31.3,256
313,72.9,31.3,256
314,72.9,31.3,255
315,72.9,31.3,254
316,72.9,31.3,254
317,73,31.3,254
318,73,31.3,253
319,73,31.3,253
320,73,31.3,253
321,73,31.3,253
322,73,31.3,253
323,73,31.2,253
324,73,31.2,253
325,73,31.2,253
326,73,31.2,253
327,73,31.2,253
328,73,31.2,253
329,73,31.2,252
330,73,31.2,251
331,73.1,31.2,251
332,73.1,31.2,251
333,73.1,31.2,250
334,73.1,31.2,250
335,73.1,31.2,249
336,73.1,31.2,249
337,73.2,31.2,249
338,73.2,31.2,249
339,73.2,31.2,249
340,73.2,31.2,249
341,73.3,31.2,249
342,73.3,31.2,249
343,73.3,31.2,249
344,73.3,31.2,249
345,73.3,31.2,249
346,73.3,31.2,249
347,73.3,31.2,248
348,73.3,31.2,248
349,73.4,31.2,248
350,73.4,31.2,247
351,73.4,31.2,247
352,73.4,31.2,247
353,73.4,31.1,246
354,73.4,31.1,246
355,73.4,31.2,246
356,73.4,31.2,245
357,73.4,31.1,245
358,73.4,31.1,245
359,73.4,31.1,245
360,73.4,31.1,244
361,73.5,31.1,244
362,73.5,31.1,243
363,73.5,31.1,243
364,73.5,31.1,242
365,73.5,31.1,242
366,73.5,31.1,242
367,73.5,31.1,242
368,73.5,31.1,241
369,73.5,31.1,241
370,73.5,31.1,241
371,73.5,31.1,241
372,73.5,31.1,241
373,73.6,31.1,242
374,73.6,31.1,242
375,73.6,31.1,242
376,73.6,31.1,242
377,73.7,31.1,243
378,73.7,31.1,242
379,73.7,31.1,242
380,73.7,31.1,242
381,73.6,31,242
382,73.6,31,242
383,73.6,31,242
384,73.6,31,242
385,73.7,31,242
386,73.7,31,242
387,73.8,31.1,242
388,73.8,31.1,242
389,73.7,31,242
390,73.7,31,242
391,73.7,31,242
392,73.7,31,242
393,73.8,31,242
394,73.8,31,242
395,73.8,31,242
396,73.8,31,242
397,73.8,31,242
398,73.8,31,242
399,73.8,31,242
400,73.8,31,242
401,73.9,31,242
402,73.9,31,241
403,73.9,31,241
404,73.9,31,241
405,73.9,31,241
406,73.9,31,241
407,73.9,31,241
408,73.9,31,241
409,74,31,241
410,74,31,241
411,74,31,241
412,74,31,241
413,74,31,241
414,74,31,241
415,74,31,241
416,74,31,241
417,74,30.9,242
418,74,30.9,242
419,74,31,242
420,74,31,243
421,74,30.9,243
422,74,30.9,243
423,74,30.9,243
424,74,30.9,243
425,74.1,31,243
426,74.1,31,243
427,74.1,31,243
428,74.1,31,243
429,74.1,30.9,243
430,74.1,30.9,243
431,74.2,31,242
432,74.2,31,242
433,74.2,31,242
434,74.2,31,241
435,74.1,30.9,241
436,74.1,30.9,241
437,74.2,30.9,241
438,74.2,30.9,241
439,74.2,30.9,241
440,74.2,30.9,241
441,74.2,30.9,241
442,74.2,30.9,240
443,74.2,30.9,240
444,74.2,30.9,240
445,74.2,30.9,240
446,74.2,30.9,240
447,74.2,30.9,240
448,74.2,30.9,240
449,74.2,30.9,240
450,74.2,30.9,240
451,74.2,30.9,240
452,74.2,30.9,240
453,74.2,30.9,240
454,74.2,30.9,239
455,74.2,30.9,239
456,74.2,30.9,238
457,74.2,30.9,238
458,74.2,30.9,237
459,74.3,30.9,237
460,74.3,30.9,236
461,74.3,30.9,236
462,74.3,30.9,236
463,74.3,30.9,236
464,74.3,30.9,236
465,74.3,30.9,236
466,74.3,30.9,236
467,74.3,30.9,236
468,74.3,30.9,236
469,74.3,30.9,237
470,74.3,30.9,237
471,74.3,30.9,237
472,74.3,30.9,237
473,74.3,30.9,237
474,74.3,30.9,237
475,74.3,30.9,237
476,74.3,30.9,237
477,74.3,30.9,237
478,74.3,30.9,237
479,74.4,30.9,237
480,74.4,30.9,237
481,74.4,30.9,236
482,74.4,30.9,236
483,74.4,30.9,236
484,74.4,30.9,235
485,74.4,30.8,235
486,74.4,30.8,235
487,74.4,30.8,235
488,74.4,30.8,235
489,74.4,30.8,235
490,74.4,30.8,235
491,74.4,30.8,235
492,74.4,30.8,235
493,74.4,30.8,235
494,74.4,30.8,235
495,74.5,30.9,235
496,74.5,30.9,235
497,74.4,30.8,234
498,74.4,30.8,234
499,74.4,30.8,234
500,74.4,30.8,234
501,74.4,30.8,233
502,74.4,30.8,233
503,74.5,30.9,233
504,74.5,30.9,233
505,74.5,30.9,233
506,74.5,30.9,232
507,74.5,30.9,233
508,74.5,30.9,233
509,74.5,30.9,233
510,74.5,30.9,233
511,74.5,30.8,233
512,74.5,30.8,233
513,74.5,30.8,233
514,74.5,30.8,233
515,74.5,30.8,233
516,74.5,30.8,233
517,74.5,30.8,233
518,74.5,30.8,234
519,74.5,30.8,234
520,74.5,30.8,234
521,74.5,30.8,234
522,74.5,30.8,234
523,74.5,30.8,235
524,74.5,30.8,232
525,74.5,30.8,269
526,74.5,30.8,526
527,74.7,30.8,699
528,74.7,30.8,742
529,74.6,30.8,782
530,74.6,30.8,769
531,74.6,30.8,721
532,74.6,30.8,694
533,74.7,30.8,665
534,74.7,30.8,634
535,74.7,30.8,620
536,74.7,30.8,588
537,74.7,30.8,558
538,74.7,30.8,532
539,74.7,30.8,508
540,74.7,30.8,485
541,74.7,30.8,465
542,74.7,30.8,446
543,74.7,30.8,430
544,74.7,30.8,413
545,74.7,30.8,399
546,74.7,30.8,388
547,74.7,30.8,379
548,74.7,30.8,369
549,74.7,30.8,360
550,74.7,30.8,351
551,74.7,30.8,344
552,74.7,30.8,338
553,74.7,30.8,331
554,74.7,30.8,325
555,74.8,30.8,321
556,74.8,30.8,320
557,74.8,30.8,316
558,74.8,30.8,311
559,74.9,30.8,305
560,74.9,30.8,300
561,74.9,30.8,296
562,74.9,30.8,329
563,74.9,30.8,440
564,74.9,30.8,493
565,75,30.8,500
566,75,30.8,475
567,75.1,30.8,440
568,75.1,30.8,412
569,75.1,30.8,398
570,75.1,30.8,562
571,75.2,30.8,709
572,75.2,30.8,781
573,75.5,30.8,741
574,75.5,30.8,709
575,76.7,30.7,669
576,76.7,30.7,648
577,77.7,30.8,659
578,77.7,30.8,635
579,77.9,30.8,605
580,77.9,30.8,565
581,77.9,30.8,532
582,77.9,30.8,580
583,76.7,30.9,558
584,76.7,30.9,556
585,76,30.9,829
586,76,30.9,853
587,75.6,30.9,866
588,75.6,30.9,855
589,75.3,30.9,853
590,75.3,30.9,852
591,75.5,31,837
592,75.5,31,813
593,75.9,30.9,791
594,75.9,30.9,760
595,76.8,30.9,730
596,76.8,30.9,699
597,76.9,30.9,664
598,76.9,30.9,645
599,76.6,30.9,624
600,76.6,30.9,595
601,76.3,30.9,571
602,76.3,30.9,552
603,76.1,31,535
604,76.1,31,529
605,75.9,31,514
606,75.9,31,498
607,75.9,31,483
608,75.9,31,468
609,75.7,31,447
610,75.7,31,434
611,75.6,31,429
612,75.6,31,420
613,75.5,31,411
614,75.5,31,403
615,75.4,31,395
616,75.4,31,387
617,75.2,31,379
618,75.2,31,375
619,75.2,31.1,370
620,75.2,31.1,365
621,75.5,31.1,359
622,75.5,31.1,353
623,75.4,31.1,348
624,75.4,31.1,342
625,75.3,31.1,336
626,75.3,31.1,331
627,75.2,31.1,326
628,75.2,31.1,322
629,75,31.1,318
630,75,31.1,315
631,74.9,31.1,314
632,74.9,31.1,313
633,74.9,31.1,310
634,74.9,31.1,308
635,74.9,31.1,305
636,74.9,31.1,301
637,75,31.2,299
638,75,31.2,297
639,75.4,31.2,295
640,75.4,31.2,293
641,75.6,31.2,291
642,75.6,31.2,289
643,75.8,31.2,286
644,75.8,31.2,283
645,75.6,31.2,280
646,75.6,31.2,278
647,75.4,31.2,276
648,75.4,31.2,275
649,75.3,31.2,274
650,75.3,31.2,272
651,75.2,31.2,272
652,75.2,31.2,272
653,75,31.2,272
654,75,31.2,270
655,75,31.2,268
656,75,31.2,266
657,74.8,31.2,265
658,74.8,31.2,264
659,74.7,31.2,262
660,74.7,31.2,261
661,74.8,31.3,260
662,74.8,31.3,259
663,74.7,31.3,257
664,74.7,31.3,256
665,74.6,31.3,196
666,74.6,31.3,165
667,74.5,31.3,298
668,74.5,31.3,268
669,74.5,31.3,314
670,74.5,31.3,300
671,74.6,31.3,267
672,74.6,31.3,267
673,74.8,31.3,301
674,74.8,31.3,270
675,75.1,31.3,270
676,75.1,31.3,364
677,75.3,31.3,224
678,75.3,31.3,271
679,75.2,31.3,272
680,75.2,31.3,268
681,75,31.4,267
682,75,31.4,266
683,75.2,31.4,320
684,75.2,31.4,254
685,75.1,31.4,395
686,75.1,31.4,268
687,74.9,31.4,379
688,74.9,31.4,269
689,75.2,31.4,273
690,75.2,31.4,270
691,75.3,31.5,269
692,75.3,31.5,267
693,75.1,31.5,268
694,75.1,31.5,264
695,75.1,31.5,261
696,75.1,31.5,258
697,75.1,31.5,255
698,75.1,31.5,253
699,74.8,31.6,251
700,74.8,31.6,250
701,74.5,31.6,248
702,74.5,31.6,247
703,74.3,31.6,245
704,74.3,31.6,246
705,74.1,31.6,244
706,74.1,31.6,243
707,74.2,31.6,242
708,74.2,31.6,241
709,74.1,31.6,244
710,74.1,31.6,243
